13520, 3, online, outlier
37.490002 , 3.54300 , 0.06506 , 0
36.209999 , 3.50349 , 0.06027 , 0
34.020000 , 3.42108 , 0.05428 , 0
31.389999 , 3.34767 , 0.04891 , 0
27.389999 , 3.15492 , 0.04073 , 0
27.180000 , 3.14148 , 0.03904 , 0
26.879999 , 3.12239 , 0.03723 , 0
26.330000 , 3.09130 , 0.03519 , 0
25.480000 , 3.05433 , 0.03308 , 0
24.530001 , 3.02185 , 0.03114 , 0
23.459999 , 2.98899 , 0.02925 , 0
22.340000 , 2.95769 , 0.02744 , 0
21.160000 , 2.91933 , 0.02557 , 0
19.790001 , 2.86765 , 0.02355 , 0
18.160000 , 2.80439 , 0.01931 , 0
17.690001 , 2.79787 , 0.01815 , 0
17.280001 , 2.79924 , 0.01710 , 0
18.690001 , 2.77413 , 0.01575 , 0
15.160000 , 2.72733 , 0.01420 , 0
14.880000 , 2.72622 , 0.01318 , 0
19.129999 , 2.69417 , 0.01188 , 0
12.410000 , 2.66737 , 0.01067 , 0
89.459999 , 3.76942 , 0.16724 , 0
83.870003 , 3.79233 , 0.15987 , 0
79.849998 , 3.82609 , 0.15316 , 0
76.339996 , 3.80127 , 0.14173 , 0
71.320000 , 3.76111 , 0.12950 , 0
65.050003 , 3.73810 , 0.11878 , 0
59.889999 , 3.72420 , 0.10883 , 0
54.320000 , 3.73234 , 0.10020 , 0
49.009998 , 3.72399 , 0.09068 , 0
47.570000 , 3.71657 , 0.08671 , 0
46.250000 , 3.71343 , 0.08296 , 0
44.889999 , 3.69918 , 0.07874 , 0
42.799999 , 3.67565 , 0.07421 , 0
39.380001 , 3.65501 , 0.06988 , 0
36.270000 , 3.62996 , 0.06548 , 0
32.959999 , 3.48929 , 0.06051 , 0
33.709999 , 3.56412 , 0.05981 , 0
32.029999 , 3.47129 , 0.05358 , 0
31.000000 , 3.42833 , 0.04919 , 0
30.290001 , 3.40095 , 0.04538 , 0
30.139999 , 3.40256 , 0.04391 , 0
28.280001 , 3.26085 , 0.03894 , 0
30.280001 , 3.36505 , 0.04147 , 0
27.180000 , 3.22127 , 0.03664 , 0
26.190001 , 3.19885 , 0.03479 , 0
24.459999 , 3.05759 , 0.03057 , 0
26.139999 , 3.46762 , 0.03931 , 0
28.780001 , 3.10189 , 0.03146 , 0
22.309999 , 3.04110 , 0.02903 , 0
24.730000 , 3.47575 , 0.03792 , 0
19.370001 , 2.97260 , 0.02773 , 0
20.889999 , 3.02095 , 0.02745 , 0
23.389999 , 3.48444 , 0.03652 , 0
22.350000 , 3.48756 , 0.03500 , 0
19.580000 , 2.93345 , 0.02363 , 0
19.180000 , 2.92220 , 0.02234 , 0
18.650000 , 2.90955 , 0.02104 , 0
18.160000 , 2.89661 , 0.01975 , 0
17.750000 , 2.88770 , 0.01854 , 0
17.450001 , 2.88328 , 0.01740 , 0
17.150000 , 2.87933 , 0.01626 , 0
16.500000 , 2.87353 , 0.01512 , 0
121.500000 , 3.77799 , 0.15633 , 0
116.099998 , 3.74977 , 0.14216 , 0
111.400002 , 3.70093 , 0.12694 , 0
103.599998 , 3.69215 , 0.11485 , 0
98.190002 , 3.71723 , 0.11060 , 0
91.400002 , 3.76396 , 0.10743 , 0
84.779999 , 3.80590 , 0.10373 , 0
78.959999 , 3.81031 , 0.09786 , 0
73.989998 , 3.79636 , 0.09107 , 0
69.730003 , 3.78231 , 0.08437 , 0
65.250000 , 3.77835 , 0.07818 , 0
60.240002 , 3.78129 , 0.07228 , 0
54.950001 , 3.78049 , 0.06623 , 0
50.330002 , 3.77669 , 0.06009 , 0
48.740002 , 3.77751 , 0.05771 , 0
47.060001 , 3.78011 , 0.05538 , 0
45.209999 , 3.77763 , 0.05290 , 0
42.950001 , 3.76643 , 0.05020 , 0
40.360001 , 3.74332 , 0.04722 , 0
37.000000 , 3.70317 , 0.04390 , 0
33.990002 , 3.63485 , 0.04007 , 0
32.650002 , 3.59683 , 0.03706 , 0
31.299999 , 3.56505 , 0.03427 , 0
29.870001 , 3.53593 , 0.03160 , 0
29.100000 , 3.52095 , 0.03029 , 0
28.290001 , 3.50578 , 0.02899 , 0
27.490000 , 3.48796 , 0.02767 , 0
26.740000 , 3.46946 , 0.02637 , 0
26.110001 , 3.44923 , 0.02506 , 0
